年度,月,行政區域代碼,區隊,回收量（噸）
113,11,63000120,北投區隊,299.38
113,11,63000010,松山區隊,374.67
113,11,63000040,中山區隊,564.44
113,11,63000090,南港區隊,183.94
113,11,63000110,士林區隊,457.1
113,11,63000100,內湖區隊,484.69
113,11,63000020,信義區隊,408.76
113,11,63000050,中正區隊,258.65
113,11,63000070,萬華區隊,281.09
113,11,63000030,大安區隊,642.94
113,11,63000080,文山區隊,531.42
113,11,63000060,大同區隊,139.79
113,11,,其他,65.55
113,12,63000120,北投區隊,327.02
113,12,63000010,松山區隊,368.02
113,12,63000040,中山區隊,567.25
113,12,63000090,南港區隊,189.85
113,12,63000110,士林區隊,448.41
113,12,63000100,內湖區隊,476.4
113,12,63000020,信義區隊,390.9
113,12,63000050,中正區隊,247.04
113,12,63000070,萬華區隊,266.29
113,12,63000030,大安區隊,639.64
113,12,63000080,文山區隊,524.14
113,12,63000060,大同區隊,136.35
113,12,,其他,88.22
114,1,63000120,北投區隊,435.78
114,1,63000010,松山區隊,488.92
114,1,63000040,中山區隊,762.98
114,1,63000090,南港區隊,238.9
114,1,63000110,士林區隊,615.35
114,1,63000100,內湖區隊,684.63
114,1,63000020,信義區隊,527.55
114,1,63000050,中正區隊,318.3
114,1,63000070,萬華區隊,372.81
114,1,63000030,大安區隊,832.36
114,1,63000080,文山區隊,735.71
114,1,63000060,大同區隊,171
114,1,,其他,79.67
114,2,63000120,北投區隊,287.51
114,2,63000010,松山區隊,334.82
114,2,63000040,中山區隊,518.02
114,2,63000090,南港區隊,161.37
114,2,63000110,士林區隊,415.14
114,2,63000100,內湖區隊,435.56
114,2,63000020,信義區隊,360.11
114,2,63000050,中正區隊,231.76
114,2,63000070,萬華區隊,257.63
114,2,63000030,大安區隊,583.67
114,2,63000080,文山區隊,487.08
114,2,63000060,大同區隊,112.04
114,2,,其他,60.95
114,3,63000120,北投區隊,304.94
114,3,63000010,松山區隊,351.46
114,3,63000040,中山區隊,535.4
114,3,63000090,南港區隊,168.25
114,3,63000110,士林區隊,426.57
114,3,63000100,內湖區隊,449.97
114,3,63000020,信義區隊,365.85
114,3,63000050,中正區隊,238.24
114,3,63000070,萬華區隊,271.68
114,3,63000030,大安區隊,608.7
114,3,63000080,文山區隊,491.93
114,3,63000060,大同區隊,120.09
114,3,,其他,56.19
114,4,63000120,北投區隊,302.88
114,4,63000010,松山區隊,339.32
114,4,63000040,中山區隊,526.97
114,4,63000090,南港區隊,165.48
114,4,63000110,士林區隊,415.81
114,4,63000100,內湖區隊,441.31
114,4,63000020,信義區隊,362.58
114,4,63000050,中正區隊,239.57
114,4,63000070,萬華區隊,260.07
114,4,63000030,大安區隊,592.94
114,4,63000080,文山區隊,489.78
114,4,63000060,大同區隊,113.13
114,4,,其他,82.11
114,5,63000120,北投區隊,344.11
114,5,63000010,松山區隊,380.09
114,5,63000040,中山區隊,574.24
114,5,63000090,南港區隊,174.87
114,5,63000110,士林區隊,452.24
114,5,63000100,內湖區隊,473.79
114,5,63000020,信義區隊,399.44
114,5,63000050,中正區隊,263.68
114,5,63000070,萬華區隊,284.98
114,5,63000030,大安區隊,647.22
114,5,63000080,文山區隊,526.49
114,5,63000060,大同區隊,128.49
114,5,,其他,55.29
114,6,63000120,北投區隊,329.74
114,6,63000010,松山區隊,362.14
114,6,63000040,中山區隊,554.67
114,6,63000090,南港區隊,178.65
114,6,63000110,士林區隊,451.3
114,6,63000100,內湖區隊,479.38
114,6,63000020,信義區隊,382.57
114,6,63000050,中正區隊,260.4
114,6,63000070,萬華區隊,270.14
114,6,63000030,大安區隊,630.17
114,6,63000080,文山區隊,528.7
114,6,63000060,大同區隊,132.63
114,6,,其他,67.65
114,7,63000120,北投區隊,359.15
114,7,63000010,松山區隊,379.63
114,7,63000040,中山區隊,587.51
114,7,63000090,南港區隊,191.34
114,7,63000110,士林區隊,477.74
114,7,63000100,內湖區隊,502.7
114,7,63000020,信義區隊,398.42
114,7,63000050,中正區隊,271.96
114,7,63000070,萬華區隊,291
114,7,63000030,大安區隊,674.07
114,7,63000080,文山區隊,565.32
114,7,63000060,大同區隊,143.63
114,7,,其他,72.53
114,8,63000120,北投區隊,350.62
114,8,63000010,松山區隊,366.11
114,8,63000040,中山區隊,569
114,8,63000090,南港區隊,183.94
114,8,63000110,士林區隊,474.81
114,8,63000100,內湖區隊,494.81
114,8,63000020,信義區隊,404.82
114,8,63000050,中正區隊,268.26
114,8,63000070,萬華區隊,293.37
114,8,63000030,大安區隊,676.19
114,8,63000080,文山區隊,547.69
114,8,63000060,大同區隊,139.56
114,8,,其他,75.37
114,9,63000120,北投區隊,336.32
114,9,63000010,松山區隊,369.03
114,9,63000040,中山區隊,566.77
114,9,63000090,南港區隊,181.86
114,9,63000110,士林區隊,464.14
114,9,63000100,內湖區隊,481.69
114,9,63000020,信義區隊,393
114,9,63000050,中正區隊,269.65
114,9,63000070,萬華區隊,278.49
114,9,63000030,大安區隊,668.25
114,9,63000080,文山區隊,543.21
114,9,63000060,大同區隊,132.31
114,9,,其他,54.93
114,10,63000120,北投區隊,339.19
114,10,63000010,松山區隊,355.07
114,10,63000040,中山區隊,560.37
